product_name;merchant_image_url;description;search_price;brand_name;category;ingredients;Anwendung;vegan;alcoholFree;fragranceFree
The Ordinary - Cleanser Mit Squalan - Reinigung Und Make-up-entferner - Hydrators And Oils Squalance Cleans 50ml;https://media.sephora.eu/content/dam/digital/pim/published/T/THE_ORDINARY/502458/161709-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Eine sanfte Reinigung, die perfekt reinigt und make-up entfernt. Die vegane Formel enthält Squalan und andere Lipophile ester, die effektiv Make-up und Unreinheiten entfernen, die Haut geschmeidig machen und ihr Feuchtigkeit spenden. Nachdem die Balsamtextur 10 bis 30 Sekunden lang zwischen den Handflächen erhitzt wurde, verwandelt sie sich in öl.  Die in der Formel enthaltene Zuckerester-emulsion sorgt dafür, dass Verunreinigungen und make-up beim abspülen mit wasser aufgenommen und entfernt werden können.  diese seifenfreie, nicht komedogene reinigung eignet sich für den täglichen gebrauch und für alle hauttypen.vegan : produkte aus natürlich gewonnenen inhaltsstoffen.  The Ordinary - Cleanser mit squalan - reinigung und make-up-entferner - Hydrators and oils squalance cleans 50ml;11.45;The Ordinary;Gesischtsreinigung;SQUALANE, AQUA/WATER/EAU, COCO-CAPRYLATE/CAPRATE, GLYCERIN, ETHYL MACADAMIATE, SUCROSE STEARATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, HYDROGENATED STARCH HYDROLYSATE, SUCROSE LAURATE, POLYACRYLATE CROSSPOLYMER-6, ISOCETETH-20, SODIUM POLYACRYLATE, TOCOPHEROL, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, MALIC ACID, ETHYLHEXYLGLYCERIN, PHENOXYETHANOL, CHLORPHENESIN.;"Erwärme eine kleine Menge des Produktes in deinen Händen, bis es sich in Öl verwandelt.

Trage es auf die trockene Haut auf und massiere es ein. Spüle es anschließend mit warmem Wasser ab. Bei Irritationen die Anwendung abbrechen und einen Arzt aufsuchen.
Nur gemäß der Gebrauchsanweisung auf intakter Haut anwenden. Ein Hauttest vor der Anwendung wird empfohlen.

Eine ausführliche Anleitung für die Durchführung eines Hauttests findest du auf der DECIEM-Website.";True;True;True
Lancôme - Gelatée Confort Reinigungsmilch - Flacon Pompe 200 Ml;https://media.sephora.eu/content/dam/digital/pim/published/L/LANCO/87269/67930-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fitDie abschminkmilch mit ultraweicher textur befreit die haut selbst vom hartnäckigsten make-up.angereichert mit nährenden lacto-proteinen, feuchtigkeitsspendenden und beruhigenden wirkstoffen ist sie eine wahre wohltat für die haut.  Lancôme - Gelatée confort reinigungsmilch - Flacon pompe 200 ml;;18.45;Lancôme;Gesischtsreinigung;AQUA / WATER- BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER- GLYCERIN- DIMETHICONE- POLYETHYLENE- PARAFFIN- PARAFFINUM LIQUIDUM / MINERAL OIL- GLYCERYL STEARATE- PEG-1 STEARATE- SODIUM LAURETH SULFATE- ACRYLATES COPOLYMER- CI 172 / RED 33- TOCOPHEROL- CYCLODEXTRIN- SODIUM HYDROXIDE- HYDROXYETHYLCELLULOSE- PHENOXYETHANOL- STEARIC ACID,FAEX EXTRACT / YEAST EXTRACT- POLYSORBATE 6- PALMITIC ACID- MEL / HONEY- MANNITOL- ISOBUTANE- ALPHA-ISOMETHYL IONONE- CARBOMER- DISODIUM SUCCINATE- CETYL ALCOHOL- METHYLPARABEN- PRUNUS AMYGDALUS DULCIS PROTEIN / SWEET ALMOND PROTEIN- HEXYL CINNAMAL- GLYCINE SOJA OIL / SOYBEAN OIL- PARFUM / FRAGRANCE;Tägliche Anwendung: morgens und abends. 1. Tragen Sie die Abschminkmilch mit den Fingern in kreisenden Bewegungen (Stirn, Wangen, Kinn) und zum Abschluss auf Gesichtsmitte und Hals auf. 2. Entfernen Sie die überschüssige Abschminkmilch mit einem Papiertuch. 3. Zum perfekten Abschluss des Abschminkens ist die Verwendung eines Gesichtswassers unerlässlich. Die Abschminkmilch mit ultraweicher Textur befreit die Haut selbst vom hartnäckigsten Make-up. Angereichert mit nährenden Lacto-Proteinen, feuchtigkeitsspendenden und beruhigenden Wirkstoffen ist sie eine wahre Wohltat für die Haut. Eigenschaft: reinigend, feuchtigkeitsspendend, beruhigend.;false;True;False
Kiehl's Since 1851 - Midnight Recovery Cleansing Oil - Reinigungsöl - midnight Recovery Cleansing Oil 175ml;https://media.sephora.eu/content/dam/digital/pim/published/K/KIEHLS/533824/225480-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Midnight recovery botanical cleansing oil von kiehl’s: reinigungsöl für maximale regeneration   ideal für die pflegeroutine am abend für alle hauttypen – das midnight recovery botanical cleansing oil von kiehl’s. Verwöhnen sie ihre haut beim reinigen mit diesem luxuriösen pflegeöl, damit rückstände von make-up, schmutz oder talg sie nicht belasten und schließlich rötungen oder unreinheiten verursachen.    die marke kiehl’s baut auf seine apothekerischen wurzeln und verbindet bei der entwicklung von hochwirksamen pflegeprodukten kosmetisches, pharmazeutisches und medizinisches wissen. Zudem legt das unternehmen wert auf nachhaltigkeit und nutzt umweltfreundliche herstellungstechniken. In der formel des midnight recovery botanical cleansing oils sind nachtkerzenöl, lavendelöl sowie squalan enthalten. Diese inhaltsstoffe helfen, die haut porentief zu reinigen, während sie beruhigen und feuchtigkeit spenden.   die anwendung ist schnell und einfach und entfaltet auch über nacht eine wohltuende wirkung. Das pflegeöl bereitet ihre haut auf die nachtcreme vor und unterstützt deren wirkung. So können sie sich am nächsten morgen über zarte und geschmeidige haut freuen.  Kiehl's Since 1851 - Midnight recovery cleansing oil - reinigungsöl - -midnight recovery cleansing oil 175ml;36.45;Kiehl's Since 1851;Gesischtsreinigung;ETHYLHEXYL PALMITATE • ZEA MAYS GERM OIL / CORN GERM OIL • ISOPROPYL MYRISTATE • CAPRYLIC/CAPRIC TRIGLYCERIDE • POLYGLYCERYL-10 DIOLEATE • POLYGLYCERYL-6 DICAPRATE • OENOTHERA BIENNIS OIL / EVENING PRIMROSE OIL • POLYGLYCERYL-2 OLEATE • CORIANDRUM SATIVUM SEED OIL / CORIANDER SEED OIL • HELIANTHUS ANNUUS SEED OIL / SUNFLOWER SEED OIL • PHENOXYETHANOL • SQUALANE • LAVANDULA ANGUSTIFOLIA OIL / LAVENDER OIL • ISOPROPYL LAUROYL SARCOSINATE • DICAPRYLYL ETHER • DICAPRYLYL CARBONATE • GERANIUM MACULATUM OIL • ROSMARINUS OFFICINALIS LEAF OIL / ROSEMARY LEAF OIL • LINALOOL • TOCOPHEROL • CITRONELLOL • GERANIOL • LIMONENE • GLYCINE SOJA OIL / SOYBEAN OIL • GLYCERYL STEARATE CITRATE;Geben Sie am Abend drei bis vier Pumpstöße in Ihre Handfläche und massieren Sie das Midnight Recovery Botanical Cleansing Oil von Kiehl’s sanft in die trockene Haut ein. Anschließend befeuchten Sie die Haut, sodass das Öl emulgiert und zur Reinigungsmilch wird. Danach spülen Sie Ihr Gesicht gründlich ab und tupfen Sie es mit einem sauberen, weichen Handtuch trocken. Zum Schluss tragen Sie Ihre übliche Nachtpflege auf.;True;true;False
Mario Badescu - Acne Facial Cleanser - Gesichtsreiniger - acne Gentle Foaming Facial Cleanser;https://media.sephora.eu/content/dam/digital/pim/published/M/MARIO_BADESCU/583737/270545-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;ein milder reiniger, der verunreinigungen beseitigt und eine köstliche saubere haut ohne fettfilm hinterlässt.vegan : produkte aus natürlich gewonnenen inhaltsstoffen.  Mario Badescu - Acne facial cleanser - gesichtsreiniger - -acne gentle foaming facial cleanser;10.45;Mario Badescu;Gesischtsreinigung;AQUA (WATER, EAU), COCO-BETAINE, SODIUM LAUROYL GLYCINATE, GLYCERIN, ACRYLATES COPOLYMER, ALOE BARBADENSIS LEAF JUICE, PHENOXYETHANOL, SODIUM HYDROXIDE, PROPYLENE GLYCOL, SACCHAROMYCES/XYLINUM/BLACK TEA FERMENT, BHT, ETHYLHEXYLGLYCERIN, CHAMOMILLA RECUTITA (MATRICARIA) EXTRACT, OENOTHERA BIENNIS (EVENING PRIMROSE) FLOWER EXTRACT, POTASSIUM SORBATE, SODIUM BENZOATE, CITRIC ACID;"An einem kühlen und trockenen Ort aufbewahren.
Mit kreisenden Bewegungen mit den Fingerspitzen vorsichtig in die feuchte Haut einmassieren, dann mit reichlich warmem Wasser abwaschen.
Bei Kontakt mit den Augen mit reichlich Wasser ausspülen.";True ;true;True
Beauty Of Joseon - Ginseng Cleansing Oil - Sanfter Make-up-entferner Mit Ginsengextrakt - ginseng Cleansing Oil;https://media.sephora.eu/content/dam/digital/pim/published/B/BEAUTY_OF_JOSEON/761483/365587-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Ein reinigungsöl, das verunreinigungen sanft entfernt. Für einen sauberen und erfrischten teint. Sojaöl ist der hauptbestandteil und hilft, verunreinigungen und make-up-rückstände, die sich auf der haut ansammeln, sanft zu lösen. Unser mit ginseng-samenöl angereichertes reinigungsöl hat einen dezenten, entspannenden duft, der deine pflegeroutine in ein beruhigendes ritual verwandelt. Verstopft die poren nicht und belebt die haut sanft.  Beauty Of Joseon - Ginseng cleansing oil - sanfter make-up-entferner mit ginsengextrakt - -ginseng cleansing oil;13.45;Beauty Of Joseon;Gesischtsreinigung;GLYCINE SOJA (SOYBEAN) OIL, CETYL ETHYLHEXANOATE, SORBETH-30 TETRAOLEATE, OLEA EUROPAEA (OLIVE) FRUIT OIL, SORBITAN SESQUIOLEATE, HELIANTHUS ANNUUS (SUNNFLOWER) SEED OIL, TOCOPHEROL, PANAX GINSENG SEED OIL, ETHYLHEXYLGLYCERIN, ECLIPTA PROSTRATA EXTRACT , PANAX GINSENG ROOT EXTRACT, MELIA AZADIRACHTA LEAF EXTRACT, MELIA AZADIRACHTA FLOWER EXTRACT, AMBER POWDER, MORINGA OLEIFERA SEED OIL , SOLANUM MELONGENA (EGGPLANT) FRUIT EXTRACT, CURCUMA LONGA (TURMERIC) ROOT EXTRACT, OCIMUM SANCTUM LEAF EXTRACT, CORALLINA OFFICINALIS EXTRACT, BIXA ORELLANA SEED OIL, PANAX GINSENG BERRY EXTRACT, BUTYLENE GLYCOL, WATER, 1,2-HEXANEDIOL;Ein bis zwei Pumpstöße sanft in die trockene Haut einmassieren. Anschließend mit lauwarmem Wasser vorsichtig abspülen und das Gesicht mit einem Reinigungsschaum waschen.;True ;True;True
Beauty Of Joseon - Green Plum Refreshing Cleanser - Reinigungsgel Mit Niedrigem Ph-wert - refreshing Green Plum Cleanser;https://media.sephora.eu/content/dam/digital/pim/published/B/BEAUTY_OF_JOSEON/761485/365589-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Dieser reiniger mit niedrigem ph-wert hat eine cremige geltextur. Mit 24,5 % pflaumenwasser und 2,94 % mungobohnen-extrakt entfernt es sanft unreinheiten und rückstände und versorgt gleichzeitig die haut mit feuchtigkeit.  Beauty Of Joseon - Green plum refreshing cleanser - reinigungsgel mit niedrigem ph-wert - -refreshing green plum cleanser;8.95;Beauty Of Joseon;Gesischtsreinigung;Water, Prunus Mume Fruit Water, Cocamidopropyl Hydroxysultaine, Phaseolus Radiatus Seed Extract, Sodium Cocoyl Isethionate, Glycerin, Sodium Chloride, Camellia Sinensis Leaf Extract, Houttuynia Cordata Extract, Nelumbo Nucifera Flower Extract, Oryza Sativa (Rice) Extract, Prunus Mume Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Guar Hydroxypropyltrimonium Chloride, Coconut Acid, Ethylhexylglycerin, Caprylyl Glycol, Sodium Isethionate, Citric Acid, Butylene Glycol, 1,2-hexanediol, Punica Granatum Extract, Clitoria Ternatea Flower Extract, Garcinia Mangostana Peel Extract, Propylene Glycol Laurate, Sodium Citrate, Disodium EDTA;Gib eine angemessene Menge Reinigungsmittel auf deine nassen Hände und massiere dein Gesicht sanft. Mit lauwarmem Wasser abspülen.Verwende einen Reiniger auf Ölbasis (Reinigungsöl, Balsam usw.), um das Make-up von deinem Gesicht zu entfernen.;True;True;True
Anua - Heartleaf Pore Control Cleansing Oil - Renigungsöl Für Make-up - heartleaf Pore Cleansing Oil 200ml;https://media.sephora.eu/content/dam/digital/pim/published/A/ANUA_THE_FOUNDERS/799296/399701-media_swatch-0.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Ein sanftes und dennoch effektives reinigungsöl, das mit heartleaf-extrakt formuliert ist. es wurde speziell entwickelt, um make-up, sonnenschutzmittel und verunreinigungen zu lösen, und gleichzeitig das natürliche feuchtigkeitsgleichgewicht der haut zu respektieren.es reinigt die poren tiefenwirksam und entfernt überschüssigen talg, ohne die poren zu verstopfen oder die haut zu irritieren – ein wichtiger schritt bei jedem double cleansing.warum wir das produkt lieben• entfernt effektiv make-up, sonnenschutz und verunreinigungen und hinterlässt die haut herrlich weich und frisch.• hilft, talgüberschuss zu reduzieren, damit dein teint klar und glatt wirkt.• der heartleaf-extrakt besänftigt irritationen und fördert eine ruhige und ausgeglichene haut.• leichte, nicht komedogene textur – ist daher ideal für haut geeignet, die zu akne neigt oder empfindlich ist.  Anua - Heartleaf pore control cleansing oil - renigungsöl für make-up - -heartleaf pore cleansing oil 200ml;17.95;Anua;Gesischtsreinigung;Ethylhexyl Palmitate, Sorbeth-30 Tetraoleate, Sorbitan Sesquioleate, Caprylic/Capric Triglyceride, Butyl Avocadate, Fragrance, Helianthus Annuus (Sunflower) Seed Oil, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Caprylyl Glycol, Ethylhexylglycerin, Curcuma Longa (Turmeric) Root Extract, Melia Azadirachta Flower Extract, Tocopherol, Melia Azadirachta Leaf Extract, Houttuynia Cordata Extract, Corallina Officinalis Extract, Melia Azadirachta Bark Extract, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract;Eine entsprechende Menge des Produkts sanft auf die trockene Haut massieren. Sorgfältig mit lauwarmem Wasser abwaschen.;True;True;false
Clinique - Rinse-off Foaming Reinigunsschaum - 150 Ml;https://media.sephora.eu/content/dam/digital/pim/published/C/CLINIQUE/18849/46232-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Wasserlöslicher reinigungsschaum, der makeup, schmutz und rückstände schnell und einfach entfernt. Botanische extrakte beruhigen die haut. Sie ist porentief rein. Augenärztlich getestet.  Clinique - Rinse-off foaming reinigunsschaum - 150 ml;26.45;Clinique;Gesischtsreinigung;Water , Potassium Myristate , Glycerin , Potassium Behenate , Sodium Methyl Cocoyl Taurate , Potassium Palmitate , Potassium Laurate , Potassium Sterate , Peg-3 Distearate , Cholesteryl Hydroxystearate , Butylene Glycol , Sodium Hyaluronate , Trisodium Edta , Disodium Edta , Phenoxyethanol , Ext. Violet 2 (Ci 60730) , Red 4 (Ci 14700);"Auf das Gesicht auftragen, aufschäumen und einmassieren.
Danach gründlich mit Wasser abspülen.";True;true;true
The Inkey List - Pickel- & Porenreiniger Mit Salicylsäure - 150 Ml;https://media.sephora.eu/content/dam/digital/pim/published/T/THE_INKEY_LIST/471084/112512-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;Der beliebte kult-gesichtsreiniger salicylic acid cleanser von the inkey list entfernt make-up und verunreinigungen und reduziert gleichzeitig mitesser und pickel.  was es bewirkt: der 2%ige salicylic acid cleanser einigt nicht nur effizient, sondern enthält zudem eine zusätzliche zinkkomponente. Gemeinsam wirken sie fettregulierend, reduzieren mitesser und pickel und fördern ein ebenmäßigeres aussehen des teints.  hauptinhaltsstoffe:   - 2 % salicylsäure: hilft, verstopfte poren zu befreien und sanft zu exfolieren.  - eine zinkkomponente: hilft, überschüssiges fett zu reduzieren.  - 0,5 % allantoin: hilft, hautirritationen zu beruhigen.erfahren sie mehr über clean at sephora [here]  The Inkey List - Pickel- & porenreiniger mit salicylsäure - 150 ml;11.95;THE INKEY LIST;Gesischtsreinigung;AQUA (WATER), PROPANEDIOL, GLYCERIN, SODIUM METHYL COCOYL TAURATE, COCAMIDOPROPYL BETAINE, PEG-120 METHYL GLUCOSE DIOLEATE, SALICYLIC ACID, PEG-150 PENTAERYTHRITYL TETRASTEARATE, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, BETAINE, ZINC PCA, PHENOXYETHANOL, SODIUM CHLORIDE, ALLANTOIN, SODIUM HYDROXIDE, COCO-GLUCOSIDE, GLYCERYL OLEATE, BENZYL ALCOHOL, COCONUT ACID, ETHYLHEXYLGLYCERIN, SODIUM BENZOATE, CITRIC ACID, DEHYDROACETIC ACID, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, TOCOPHEROL, HYDROGENATED PALM GLYCERIDES CITRATE;"Der Salicylic Acid Cleanser kann morgens und abends angewendet werden.
Eine kleine Menge auftragen und mindestens 60 Sekunden sanft in das feuchte Gesicht und den Hals einmassieren.
Gründlich mit viel Wasser abspülen und mit Ihrem verbleibenden Hautpflege-Protokoll fortfahren.";True;False;True
The Inkey List - Hafer Reinigungsbalsam - Cleanser Oat Balm-;https://media.sephora.eu/content/dam/digital/pim/published/T/THE_INKEY_LIST/505911/163071-media_swatch.jpg?scaleWidth=500&scaleHeight=500&scaleMode=fit;was es ist: der luxuriöse reinigungsbalsam von the inkey list entfernt sanft make-up, reinigt und pflegt die haut. Ideal für empfindliche hauttypen.  was es bewirkt: kombiniert hautberuhigende, kolloidale haferflocken mit ceramiden, um die natürliche schutzbarriere der haut zu stärken. Das produkt enthält zudem haferkernöl, um die haut zu reinigen und zu pflegen.   hauptinhaltsstoffe:  - 3 % haferkernöl: unterstützt sanft die feuchtigkeitsbarriere der haut  - 1 % kolloidale haferflocken: helfen, das erscheinungsbild von rötungen zu reduzieren und hautirritationen zu beruhigen.erfahren sie mehr über clean at sephora [here]  The Inkey List - Hafer reinigungsbalsam - Cleanser oat balm-;10.95;THE INKEY LIST;Gesischtsreinigung;PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL, CETEARYL ALCOHOL, PEG-6 CAPRYLIC/CAPRIC GLYCERIDES, AVENA SATIVA (OAT) KERNEL OIL, CANDELILLA CERA (CIRE DE CANDELILLA), SILICA, SORBITAN STEARATE, TRIBEHENIN, PEG-60 ALMOND GLYCERIDES, AVENA SATIVA (OAT) KERNEL FLOUR, AQUA (WATER/EAU), BENZYL ALCOHOL, PHENOXYETHANOL, LECITHIN, 1,2-HEXANEDIOL, ASCORBYL PALMITATE, TOCOPHEROL, BIOSACCHARIDE GUM-4, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL.;"Die ideale milde Reinigung für morgens und abends.
Eine kleine Menge sanft auf das feuchte Gesicht und den Hals auftragen, zum Einmassieren Wasser hinzufügen und dann gründlich abspülen.
Für einen Extra-Pflegeboost vor dem Abspülen 10 Minuten einwirken lassen.";True ;False ;True 
